   1.0000000e+00   5.8722200e-02   1.2959200e-01   1.8831400e-01
   2.0000000e+00   8.7175500e-02   1.1162800e-01   3.1043200e-01
   3.0000000e+00   1.1254900e-01   1.0090500e-01   4.1526300e-01
   4.0000000e+00   1.5239500e-01   8.9596200e-02   5.1078000e-01
   5.0000000e+00   2.0953400e-01   7.6862700e-02   5.9384700e-01
   6.0000000e+00   2.7324500e-01   6.5268100e-02   6.6485300e-01
   7.0000000e+00   3.1984100e-01   5.7886100e-02   7.2504400e-01
   8.0000000e+00   3.1990100e-01   5.7880100e-02   7.8294200e-01
   9.0000000e+00   3.1996400e-01   5.7875600e-02   8.4084400e-01
   1.0000000e+01   3.2002900e-01   5.7874500e-02   8.9877400e-01
